,ticker,predict,real
2024-01-22,AXON,6.429765988736797e-05,0.005966
2024-01-23,AXON,-0.0006559692552320967,-0.023997
2024-01-24,AXON,0.0008724731902259939,-0.023704
2024-01-25,AXON,0.0016179275996659511,-0.000316
2024-01-26,AXON,0.0006128135709202973,-0.00483
2024-01-29,AXON,0.0011234229183379955,0.010873
2024-01-30,AXON,0.00035531385805896547,3.9e-05
2024-01-02,BLDR,0.00046995494536491414,0.009215
2024-01-03,BLDR,0.0003418065292260413,-0.016423
2024-01-04,BLDR,-0.0011747580288581506,-0.006506
2024-01-05,BLDR,-0.0009349205693309707,0.027524
2024-01-08,BLDR,0.00030136540274796123,0.01631
2024-01-09,BLDR,0.0011991974328725747,0.0246
2024-01-10,BLDR,-0.001208057930237501,0.007953
2024-01-11,BLDR,0.001222224589126761,0.010516
2024-01-12,BLDR,0.00011430859155999754,-0.008236
2024-01-16,BLDR,0.0003550787425795418,0.007469
2024-01-17,BLDR,0.0001733575178993284,0.005436
2024-01-18,BLDR,0.00036850003627612654,-0.008439
2024-01-19,BLDR,0.0015558692369718088,0.030649
2024-01-22,BLDR,-5.863271189684522e-05,0.013089
2024-01-23,BLDR,-0.0004464337255688621,-0.045974
2024-01-24,BLDR,-0.0024185314317490183,-0.030211
2024-01-25,BLDR,0.003549854612014923,0.008074
2024-01-26,BLDR,-0.0023661016033319983,-0.001708
2024-01-29,BLDR,0.0024497476432573675,0.026163
2024-01-30,BLDR,0.00038602185800450914,-0.001189
2024-01-02,ODFL,0.00018460636789456556,-0.013811
2024-01-03,ODFL,0.0010791542715410873,-0.021097
2024-01-04,ODFL,0.0012920957427560548,0.01138
2024-01-05,ODFL,0.001836535727604675,-0.013901
2024-01-08,ODFL,-0.00028562035585625667,0.013628
2024-01-09,ODFL,0.0012131133084343803,0.004757
2024-01-10,ODFL,0.00016883932312414677,0.006253
2024-01-11,ODFL,0.0007163740704860743,-0.008415
2024-01-12,ODFL,0.0005815497778382446,-0.006337
2024-01-16,ODFL,0.00017921933383511354,-0.011568
2024-01-17,ODFL,-0.00010841855837063874,-0.002376
2024-01-18,ODFL,0.0005405796287824801,0.008971
2024-01-19,ODFL,0.00036649449890996876,0.010227
2024-01-22,ODFL,0.0010626603845459083,0.028838
2024-01-23,ODFL,-0.0017993711814801934,-0.019645
2024-01-24,ODFL,0.0005735693507290116,-0.016349
2024-01-25,ODFL,0.0005323807273419542,-0.000607
2024-01-26,ODFL,-0.00013734567396868612,-0.012424
2024-01-29,ODFL,-0.00020344468951402595,0.018774
2024-01-30,ODFL,0.0002975917927766471,0.007841
2024-01-02,IR,-7.483588800485851e-05,-0.003506
2024-01-03,IR,-2.6219772980361493e-06,-0.019551
2024-01-04,IR,0.0004109668237474326,0.000534
2024-01-05,IR,0.0009258036610348089,0.0
2024-01-08,IR,0.00044735444881629507,0.012164
2024-01-09,IR,0.001590268176529084,0.012538
